"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"ClaimResponse","ClaimResponse","","Remittance Advice
","",0,*,"","","","null {[]} {[]}
","Response to a claim predetermination or preauthorization","This resource provides the adjudication details from the processing of a Claim resource.","","","","","","","","","",,,,,"",,,,"ClaimResponse",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Event","Entity. Role, or Act"
"ClaimResponse.id","ClaimResponse.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"ClaimResponse.addItem.detail.subDetail","ClaimResponse.addItem.detail.subDetail","","","",0,*,"","","","BackboneElement {[]} {[]}
","Insurer added line items","The third-tier service adjudications for payor added services.","","","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.addItem.detail.subDetail.id","ClaimResponse.addItem.detail.subDetail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ClaimResponse.addItem.detail.subDetail.extension","ClaimResponse.addItem.detail.subDetail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ClaimResponse.addItem.detail.subDetail.modifierExtension","ClaimResponse.addItem.detail.subDetail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ClaimResponse.addItem.detail.subDetail.productOrService","ClaimResponse.addItem.detail.subDetail.productOrService","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Billing, service, product, or drug code","When the value is a group code then this item collects a set of related claim details, otherwise this contains the product, service, drug or other billing code for the item.","If this is an actual service or product line, i.e. not a Group, then use code to indicate the Professional Service or Product supplied (e.g. CTP, HCPCS, USCLS, ICD10, NCPDP, DIN, RxNorm, ACHI, CCI). If a grouping item then use a group code to indicate the type of thing being grouped e.g. 'glasses' or 'compound'.","Necessary to state what was provided or done.","","","","","","","",,"example","Allowable service and product codes.","http://hl7.org/fhir/ValueSet/service-uscls|4.0.1","",,,,"ClaimResponse.addItem.detail.subDetail.productOrService",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.addItem.detail.subDetail.modifier","ClaimResponse.addItem.detail.subDetail.modifier","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Service/Product billing modifiers","Item typification or modifiers codes to convey additional context for the product or service.","For example in Oral whether the treatment is cosmetic or associated with TMJ, or for Medical whether the treatment was outside the clinic or outside of office hours.","To support inclusion of the item for adjudication or to charge an elevated fee.","","","","","","","",,"example","Item type or modifiers codes, eg for Oral whether the treatment is cosmetic or associated with TMJ, or an appliance was lost or stolen.","http://hl7.org/fhir/ValueSet/claim-modifiers|4.0.1","",,,,"ClaimResponse.addItem.detail.subDetail.modifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","24.C, 24.D mods"
"ClaimResponse.addItem.detail.subDetail.quantity","ClaimResponse.addItem.detail.subDetail.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity|4.0.1]]} {[]}
","Count of products or services","The number of repetitions of a service or product.","","Required when the product or service code does not convey the quantity provided.","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.quantity",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","24.G"
"ClaimResponse.addItem.detail.subDetail.unitPrice","ClaimResponse.addItem.detail.subDetail.unitPrice","","","",0,1,"","","","Money {[]} {[]}
","Fee, charge or cost per item","If the item is not a group then this is the fee for the product or service, otherwise this is the total of the fees for the details of the group.","","The amount charged to the patient by the provider for a single unit.","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.unitPrice",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.addItem.detail.subDetail.factor","ClaimResponse.addItem.detail.subDetail.factor","","","",0,1,"","","","decimal {[]} {[]}
","Price scaling factor","A real number that represents a multiplier used in determining the overall value of services delivered and/or goods received. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.","To show a 10% senior's discount, the value entered is: 0.90 (1.00 - 0.10).","When discounts are provided to a patient (example: Senior's discount) then this must be documented for adjudication.","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.factor",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.addItem.detail.subDetail.net","ClaimResponse.addItem.detail.subDetail.net","","","",0,1,"","","","Money {[]} {[]}
","Total item cost","The quantity times the unit price for an additional service or product or charge.","For example, the formula: quantity * unitPrice * factor  = net. Quantity and factor are assumed to be 1 if not supplied.","Provides the total amount claimed  for the group (if a grouper) or the line item.","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.net",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","24.F"
"ClaimResponse.addItem.detail.subDetail.noteNumber","ClaimResponse.addItem.detail.subDetail.noteNumber","","","",0,*,"","","","positiveInt {[]} {[]}
","Applicable note numbers","The numbers associated with notes below which apply to the adjudication of this item.","","Provides a condensed manner for associating human readable descriptive explanations for adjudications on the line item.","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.noteNumber",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.addItem.detail.subDetail.adjudication","ClaimResponse.addItem.detail.subDetail.adjudication","","","",1,*,"","","","null {[]} {[]}
","Added items detail adjudication","The adjudication results.","","","","","","","","","",,,,,"",,,,"ClaimResponse.addItem.detail.subDetail.adjudication",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.adjudication","ClaimResponse.adjudication","","","",0,*,"","","","null {[]} {[]}
","Header-level adjudication","The adjudication results which are presented at the header level rather than at the line-item or add-item levels.","","Some insurers will receive line-items but provide the adjudication only at a summary or header-level.","","","","","","","",,,,,"",,,,"ClaimResponse.adjudication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.total","ClaimResponse.total","","","",0,*,"Y","","Y","BackboneElement {[]} {[]}
","本分案的各項金額","每類金額分別填寫一筆。category 填入金額類別：submitted 申請核銷、approveFee 核定、aSvcFee 政策鼓勵、incInAcc 核增、decInAcc 核減、tempPaymentFee 暫付。amount 填入該類別的新臺幣金額。","Totals for amounts submitted, co-pays, benefits payable etc.","To provide the requestor with financial totals by category for the adjudication.","","","","","","","",,,,,"",,,,"ClaimResponse.total",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.total.id","ClaimResponse.total.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ClaimResponse.total.extension","ClaimResponse.total.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ClaimResponse.total.modifierExtension","ClaimResponse.total.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ClaimResponse.total.category","ClaimResponse.total.category","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","金額的類別，用以區分申請核銷、核定、政策鼓勵、核增、核減與暫付金額。","A code to indicate the information type of this adjudication record. Information types may include: the value submitted, maximum values or percentages allowed or payable under the plan, amounts that the patient is responsible for in aggregate or pertaining to this item, amounts paid by other coverages, and the benefit payable for this item.","For example codes indicating: Co-Pay, deductible, eligible, benefit, tax, etc.","Needed to convey the type of total provided.","","","","","","","",,"extensible","","http://ltc-ig.fhir.tw/ValueSet/vs-tw-ltc-feeaudit-adjudication","",,,,"ClaimResponse.total.category",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.total.amount","ClaimResponse.total.amount","","","",1,1,"Y","","Y","Money {[]} {[]}
","金額的內容。[應填入新臺幣金額，幣別為 TWD]","Monetary total amount associated with the category.","","Needed to convey the total monetary amount.","","","","","","","",,,,,"",,,,"ClaimResponse.total.amount",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment","ClaimResponse.payment","","","",0,1,"","","","BackboneElement {[]} {[]}
","Payment Details","Payment details for the adjudication of the claim.","","Needed to convey references to the financial instrument that has been used if payment has been made.","","","","","","","",,,,,"",,,,"ClaimResponse.payment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.id","ClaimResponse.payment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ClaimResponse.payment.extension","ClaimResponse.payment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ClaimResponse.payment.modifierExtension","ClaimResponse.payment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ClaimResponse.payment.type","ClaimResponse.payment.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Partial or complete payment","Whether this represents partial or complete payment of the benefits payable.","","To advise the requestor when the insurer believes all payments to have been completed.","","","","","","","",,"example","The type (partial, complete) of the payment.","http://hl7.org/fhir/ValueSet/ex-paymenttype|4.0.1","",,,,"ClaimResponse.payment.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.adjustment","ClaimResponse.payment.adjustment","","","",0,1,"","","","Money {[]} {[]}
","Payment adjustment for non-claim issues","Total amount of all adjustments to this payment included in this transaction which are not related to this claim's adjudication.","Insurers will deduct amounts owing from the provider (adjustment), such as a prior overpayment, from the amount owing to the provider (benefits payable) when payment is made to the provider.","To advise the requestor of adjustments applied to the payment.","","","","","","","",,,,,"",,,,"ClaimResponse.payment.adjustment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.adjustmentReason","ClaimResponse.payment.adjustmentReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Explanation for the adjustment","Reason for the payment adjustment.","","Needed to clarify the monetary adjustment.","","","","","","","",,"example","Payment Adjustment reason codes.","http://hl7.org/fhir/ValueSet/payment-adjustment-reason|4.0.1","",,,,"ClaimResponse.payment.adjustmentReason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.date","ClaimResponse.payment.date","","","",0,1,"","","","date {[]} {[]}
","Expected date of payment","Estimated date the payment will be issued or the actual issue date of payment.","","To advise the payee when payment can be expected.","","","","","","","",,,,,"",,,,"ClaimResponse.payment.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.amount","ClaimResponse.payment.amount","","","",1,1,"","","","Money {[]} {[]}
","Payable amount after adjustment","Benefits payable less any payment adjustment.","","Needed to provide the actual payment amount.","","","","","","","",,,,,"",,,,"ClaimResponse.payment.amount",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.payment.identifier","ClaimResponse.payment.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Business identifier for the payment","Issuer's unique identifier for the payment instrument.","For example: EFT number or check number.","Enable the receiver to reconcile when payment received.","","","","","","","",,,,,"",,,,"ClaimResponse.payment.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.fundsReserve","ClaimResponse.fundsReserve","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Funds reserved status","A code, used only on a response to a preauthorization, to indicate whether the benefits payable have been reserved and for whom.","Fund would be release by a future claim quoting the preAuthRef of this response. Examples of values include: provider, patient, none.","Needed to advise the submitting provider on whether the rquest for reservation of funds has been honored.","","","","","","","",,"example","For whom funds are to be reserved: (Patient, Provider, None).","http://hl7.org/fhir/ValueSet/fundsreserve|4.0.1","",,,,"ClaimResponse.fundsReserve",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.formCode","ClaimResponse.formCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Printed form identifier","A code for the form to be used for printing the content.","May be needed to identify specific jurisdictional forms.","Needed to specify the specific form used for producing output for this response.","","","","","","","",,"example","The forms codes.","http://hl7.org/fhir/ValueSet/forms|4.0.1","",,,,"ClaimResponse.formCode",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.form","ClaimResponse.form","","","",0,1,"","","","Attachment {[]} {[]}
","Printed reference or actual form","The actual form, by reference or inclusion, for printing the content or an EOB.","Needed to permit insurers to include the actual form.","Needed to include the specific form used for producing output for this response.","","","","","","","",,,,,"",,,,"ClaimResponse.form",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.processNote","ClaimResponse.processNote","","","",0,*,"Y","","","BackboneElement {[]} {[]}
","審核結果的附註，例如核增或核減原因。","核增或核減原因應分別填寫附註，並給予編號，供服務紀錄的 noteNumber 引用。","","Provides the insurer specific textual explanations associated with the processing.","","","","","","","",,,,,"",,,,"ClaimResponse.processNote",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.processNote.id","ClaimResponse.processNote.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ClaimResponse.processNote.extension","ClaimResponse.processNote.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ClaimResponse.processNote.modifierExtension","ClaimResponse.processNote.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ClaimResponse.processNote.number","ClaimResponse.processNote.number","","","",1,1,"Y","","","positiveInt {[]} {[]}
","審核附註的編號。[應填入正整數，供服務紀錄的 noteNumber 引用]","A number to uniquely identify a note entry.","","Necessary to provide a mechanism to link from adjudications.","","","","","","","",,,,,"",,,,"ClaimResponse.processNote.number",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.processNote.type","ClaimResponse.processNote.type","","","",0,1,"","","","code {[]} {[]}
","display | print | printoper","The business purpose of the note text.","","To convey the expectation for when the text is used.","","","","","","","",,"required","The presentation types of notes.","http://hl7.org/fhir/ValueSet/note-type|4.0.1","",,,,"ClaimResponse.processNote.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.processNote.text","ClaimResponse.processNote.text","","","",1,1,"Y","","","string {[]} {[]}
","審核附註的內容","The explanation or description associated with the processing.","","Required to provide human readable explanation.","","","","","","","",,,,,"",,,,"ClaimResponse.processNote.text",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.processNote.language","ClaimResponse.processNote.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language of the text","A code to define the language used in the text of the note.","Only required if the language is different from the resource language.","Note text may vary from the resource defined language.","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"ClaimResponse.processNote.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.communicationRequest","ClaimResponse.communicationRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CommunicationRequest|4.0.1]]}
","Request for additional information","Request for additional supporting or authorizing information.","For example: professional reports, documents, images, clinical resources, or accident reports.","Need to communicate insurer request for additional information required to support the adjudication.","","","","","","","",,,,,"",,,,"ClaimResponse.communicationRequest",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ClaimResponse.insurance","ClaimResponse.insurance","","","",0,*,"","","","BackboneElement {[]} {[]}
","Patient insurance information","Financial instruments for reimbursement for the health care products and services specified on the claim.","All insurance coverages for the patient which may be applicable for reimbursement, of the products and services listed in the claim, are typically provided in the claim to allow insurers to confirm the ordering of the insurance coverages relative to local 'coordination of benefit' rules. One coverage (and only one) with 'focal=true' is to be used in the adjudication of this claim. Coverages appearing before the focal Coverage in the list, and where 'subrogation=false', should provide a reference to the ClaimResponse containing the adjudication results of the prior claim.","At least one insurer is required for a claim to be a claim.","","","","","","","",,,,,"",,,,"ClaimResponse.insurance",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Coverage"
"ClaimResponse.insurance.id","ClaimResponse.insurance.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"ClaimResponse.insurance.extension","ClaimResponse.insurance.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"ClaimResponse.insurance.modifierExtension","ClaimResponse.insurance.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
